Employee_ID,Full_Name,Email,Phone,Gender,Age,Department,Job_Title,Location,Joining_Date,Years_Experience,Annual_Salary_INR,Performance_Rating,Is_Active
1380,Arjun Nair,arjun.nair@yahoo.com,+91-6125666952,F,24.0,OPERATIONS,HR Executive,hyderabad,"September 09, 2022",25,788633,Poor,Yes
1299,Pooja Sharma,pooja.sharma@hotmail.com,896-6835728,F,48.0,Information Technology,SQL Developer,Delhi,2022-08-23,26,609443,Not Rated,no
1779,Meera Patel,meera.patel@yahoo.com,+91-8150208433,F,37.0,HR,BI Developer,Chennai,2023/01/12,16,1549864,good,1
1782,Aakash Joshi,aakash.joshi@gmail,+91-8632627835,,42.0,MARKETING,Data Analyst,Bengaluru,2023-05-21,,,N/A,1
1021,Ravi Iyer,ravi.iyer@gmail.com,+91-8449142215,MALE,26.0,Finance,BI Developer,Bengaluru,23/12/2022,5 yrs,603432,Average,TRUE
1022,Ananya Verma,ananya.verma@yahoo.com,,male,29.0,Human Resources,SENIOR ANALYST,Chennai,2018-10-19,three years,1432913,High Performer,
1615,Rahul Pillai,rahul.pillai@outlook.com,+91-6060062145,Unknown,25.0,Information Technology,,bangalore,2019-12-01,3,665946,EXCELLENT,yes
1618,Vikram Sharma,vikram.sharma@hotmail.com,+91-9074387556,m,55.0,Marketing,Senior Analyst,bangalore,01-29-2021,7,33379 INR,Average,No
1577,Ananya Patel,ananya.patel@gmail.com,+91-7210565696,female,47.0,sales,Senior Analyst,Pune,2020/04/11,6,1051288,2,FALSE
1056,ANANYA RAO,ananya.rao@hotmail.com,+91-9238482108,female,200.0,Marketing,Senior Analyst,hyderabad,01-20-2021,21,798978,Avg,N
1526,Neha Patel,neha.patel@yahoo.com,+91-9115351748,female,41.0,sales,Data Engineer,Hyderabad,"June 08, 2020",20,333095,High Performer,Yes
1455,Rahul Iyer,rahul.iyer@company.in,962-8964404,Unknown,57.0,finance,SQL Developer,Pune,2018-07-11,17,409888,High Performer,
1580,Sneha Singh,sneha.singh@outlook.com,+91-6795109167,female,45.0,Operations,data analyst,Hyderabad,2021-03-19,13,1182818,excellent,1
1739,Vikram Iyer,vikram.iyer@hotmail.com,+91-6460955243,f,58.0,Human Resources,Senior Analyst,hyderabad,2019-12-07,24,433290,5,Yes
1420,Vikram Reddy,vikram.reddy@gmail.com,+91-7523950345,female,37.0,Marketing,Finance Analyst,bangalore,14/07/2021,11,1059250,Average,No
1471,Kiran Mishra,kiran.mishra@company.in,+91-7821460610,Unknown,53.0,HR,data analyst,Mumbai,07-Mar-2023,22,528702,good,0
1165,Ravi Mehta,ravi.mehta@hotmail.com,+91-6977337913,,34.0,MARKETING,Manager,Hyderabad,,28,764623,5,TRUE
1213,Arjun Iyer,N/A,+91-9270228642,Other,56.0,Marketing,,,2022-07-15,25,390943,High Performer,no
1320,Kiran Verma,kiran.verma@gmail.com,+91-6530924113,f,37.0,Fin,SQL Developer,Hyderabad,07-21-2018,12,1681819,N/A,Yes
1525,Suresh Joshi,suresh.joshi@gmail.com,+91-8232212989,F,48.0,Operations,SQL Developer,Bombay,19-Apr-2022,21,1260584,2,Y
1796,Ananya Pillai,ananya.pillai@outlook.com,917551558895,FEMALE,,Operations,data analyst,bangalore,2022/07/12,19,365327,Excellent,N
1147,Kiran Sharma,,+91-6497024805,m,22.0,sales,SQL Developer,MUMBAI,2021/03/16,11,50,3,
1682,Divya Pillai,divya.pillai@outlook.com,+91-7962567118,Other,22.0,finance,BI Developer,Pune,07/03/2023,17,1193960,average,no
1609,  Swati Reddy  ,swati.reddy@outlook.com,+91-7340059485,Other,46.0,Human Resources,Data Analyst,Chennai,31-May-2019,10,1328168,Excellent,Yes
1168,Ananya Gupta,ananya.gupta@outlook.com,+91-9612454812,MALE,41.0,HR,Manager,hyderabad,"May 11, 2022",13,1230217,3,TRUE
1433,Sneha Iyer,,+91-8379050651,F,55.0,MARKETING,SQL Developer,Bangalore,03-27-2020,13,-5000,Excellent,0
1698,Kiran Reddy,kiran.reddy@outlook.com,+91-9673767577,,48.0,HR,Data Engineer,Pune,"May 08, 2019",10,611078,Excellent,no
1270,Suresh Verma,N/A,+91-9679815234,M,25.0,Fin,data analyst,Mumbai,"October 07, 2022",18,9999999,GOOD,N
1180,  Ananya Joshi  ,ananya.joshi@hotmail.com,,female,31.0,OPERATIONS,Data Analyst,Pune,2021-07-06,12,1527598,5,1
1496,Ananya Patel,ananya.patel@hotmail.com,+91-8916845891,MALE,27.0,Fin,data analyst,Pune,2022-10-17,29,981963,2,1
1213,,employee94@hotmail.com,+91-6054914778,male,,Fin,data analyst,Mumbai,09-02-2022,11,1552821,excellent,yes
1632,Arjun Verma,,+91-8111613686,FEMALE,55.0,hr,Data Analyst,hyderabad,06-Sep-2020,14,1251510,Avg,Y
1232,Divya Iyer,divya.iyer@gmail.com,+91-7702395148,Female,45.0,it,HR Executive,,2018-01-03,0,1202193,GOOD,0
1192,Arjun Iyer,arjun.iyer@outlook.com,+91-8828443248,m,27.0,sales,SQL Developer,Hyderabad,2021-09-29,9,44996 INR,5,no
1589,Meera Rao,meera.rao@gmail.com,+91-6512036736,,54.0,finance,SQL Developer,bangalore,2021-05-14,16,1665071,Not Rated,N
1660,  Swati Sharma  ,swati.sharma@outlook.com,+91-7720668210,FEMALE,47.0,Human Resources,Data Analyst,,2023-02-02,28,1456233,High Performer,no
1019,Rahul Iyer,rahul.iyer@gmail.com,+91-6436893312,M,0.0,Operations,Finance Analyst,,2018-05-09,9,750936,EXCELLENT,Y
1731,Ananya Patel,ananya.patel@hotmail.com,+91-9832947482,Other,30.0,sales,SQL Developer,MUMBAI,2018-08-28,6,779185,4,Yes
1301,Sneha Mehta,sneha.mehta@outlook.com,+91-6277929117,f,38.0,Fin,SQL Developer,Bangalore,28-Oct-2020,0,1251056,excellent,Yes
1614,Aakash Nair,aakash.nair@gmail.com,+91-6855069520,MALE,47.0,sales,BI Developer,chennai,03/06/2018,30,499409,EXCELLENT,
1068,Kiran Mishra,kiran.mishra@gmail.com,+91-8555337302,Male,42.0,HR,SENIOR ANALYST,bangalore,30-Sep-2021,8,955409,excellent,No
1108,Aakash Sharma,aakash.sharma@hotmail.com,+91-7736408179,female,39.0,Marketing,Manager,Delhi,2022/07/26,16,1084966,EXCELLENT,1
1057,Swati Iyer,swati.iyer@gmail.com,NA,female,34.0,Sales,SENIOR ANALYST,Pune,2022-08-14,29,1740368,average,No
1013,Vikram Verma,vikram.verma@gmail.com,+91-9248296389,F,28.0,Finance,Data Engineer,Bengaluru,09/04/2018,3,440788,good,TRUE
1513,,employee108@hotmail.com,+91-8765233838,m,32.0,OPERATIONS,Finance Analyst,Chennai,2020-02-08,,41188 INR,Poor,FALSE
1777,Meera Sharma,meera.sharma@gmail.com,+91-7529426298,male,42.0,Sales,BI Developer,bangalore,"June 07, 2021",4,42656 INR,Excellent,FALSE
1214,Meera Singh,meera.singh@company.in,+91-8590575789,,56.0,finance,Finance Analyst,Chennai,"June 14, 2018",28,1081497,Not Rated,1
1338,Kiran Mishra,kiran.mishra@outlook.com,+91-8081052775,MALE,35.0,Fin,SQL Developer,Bombay,13/07/2021,7,1466794,Good,Y
1005,vikram rao,vikram.rao@gmail.com,+91-6632966915,m,51.0,finance,,Pune,2022/10/23,9,9999999,excellent,1
1366,Meera Pillai,,+91-6464013969,MALE,29.0,it,Senior Analyst,bangalore,,N/A,1161528,Not Rated,No
1749,rahul mehta,rahul.mehta@outlook.com,918135774649,male,41.0,IT,,hyderabad,04-15-2020,6,1695320,4,TRUE
1549,  Aakash Iyer  ,aakash.iyer@outlook.com,06293039905,FEMALE,24.0,Sales,BI Developer,Pune,03-Nov-2022,23,1186962,Average,N
1262,Suresh Kumar,suresh.kumar@yahoo.com,+91-8917160520,Male,42.0,MARKETING,SQL Developer,Mumbai,,15,407890,5,yes
1288,Vikram Iyer,,+91-7300312565,Unknown,37.0,Information Technology,Sql Developer,bangalore,2021-08-07,26,1559151,5,Y
1582,divya reddy,,+91-6413749776,female,47.0,Sales,SENIOR ANALYST,Chennai,07-08-2021,22,517266,GOOD,Y
1050,Pooja Gupta,pooja.gupta@yahoo.com,+91-8839319571,MALE,41.0,sales,Data Analyst,bangalore,2018/04/14,29,746145,EXCELLENT,Y
1203,Divya Rao,divya.rao@company.in,+91-9296697093,f,33.0,it,Senior Analyst,Mumbai,"March 28, 2019",5 yrs,1311224,EXCELLENT,
1125,Divya Mehta,divya.mehta@gmail.com,+91-8001548533,,,it,HR Executive,Hyderabad,2019-07-08,,526950,average,N
1758,Aakash Pillai,aakash.pillai@gmail.com,+91-8843668785,male,50.0,IT,SQL Developer,,,12,1466573,good,Y
1629,  Meera Rao  ,meera.rao@company.in,+91-8168076965,M,57.0,Sales,Data Analyst,Chennai,,two,884199,2,Y
1329,Arjun Pillai,arjun.pillai@company.in,+91-7475817955,Unknown,51.0,sales,Data Engineer,Bengaluru,"May 11, 2021",10,1199913,Avg,TRUE
1774,aakash patel,aakash.patel@hotmail.com,+91-8321554322,,30.0,MARKETING,Finance Analyst,bangalore,03-11-2020,26,1603849,GOOD,Yes
1401,Divya Joshi,divya.joshi@company.in,+91-9281204295,f,25.0,Sales,data analyst,hyderabad,,29,1647837,EXCELLENT,1
1012,Ananya Pillai,N/A,,Other,36.0,hr,Finance Analyst,Chennai,12-19-2022,27,1577154,4,no
1794,Rahul Kumar,rahul.kumar@outlook.com,+91-6511677101,male,47.0,IT,Sql Developer,MUMBAI,2022-01-26,23,1754314,Excellent,1
1184,Divya Gupta,divya.gupta@outlook.com,+91-7351021444,,27.0,OPERATIONS,HR Executive,MUMBAI,2022-04-12,19,678359,excellent,N
1315,Sneha Joshi,sneha.joshi@gmail.com,+91-7900764163,MALE,38.0,hr,data analyst,Bengaluru,10-07-2021,20,947987,High Performer,No
1623,Ananya Nair,ananya.nair@gmail.com,+91-6141131770,f,26.0,Sales,data analyst,Mumbai,05-06-2021,12,1036149,Poor,FALSE
1757,Ananya Patel,ananya.patel@yahoo.com,+91-8832148790,Other,,finance,,Bangalore,2019-12-07,,,3,0
1215,Pooja Kumar,pooja.kumar@hotmail.com,+91-7301566516,Other,200.0,Sales,HR Executive,Pune,11/02/2021,10,1487661,Excellent,0
1201,Ravi Patel,ravi.patel@gmail.com,+91-6704994153,female,27.0,Human Resources,data analyst,Bombay,,4,445931,High Performer,no
1097,Priya Joshi,priya.joshi@yahoo.com,+91-6577622607,male,43.0,Marketing,Finance Analyst,Delhi,,22,1627857,EXCELLENT,FALSE
1491,Neha Patel,neha.patel@gmail.com,+91-7671087985,MALE,51.0,IT,Sql Developer,MUMBAI,2023-03-05,1,492429,3,1
1305,Swati Pillai,,+91-6469792084,F,200.0,Fin,data analyst,Pune,2023-03-06,12,751166,Good,No
1446,Meera Rao,meera.rao@outlook.com,+91-8106912159,FEMALE,47.0,MARKETING,Manager,Bombay,26/11/2018,24,1251364,High Performer,Yes
1529,MEERA SINGH,,+91-8943659619,female,46.0,Human Resources,SENIOR ANALYST,Bangalore,"April 25, 2022",16,1076057,High Performer,
1646,  Rahul Iyer  ,rahul.iyer@yahoo.com,+91-8017854580,Unknown,33.0,Information Technology,SENIOR ANALYST,Pune,2018-02-16,N/A,980280,3,
1713,RAHUL NAIR,rahul.nair@yahoo.com,+91-9669411645,male,33.0,finance,,Bengaluru,"April 03, 2023",12,1490329,EXCELLENT,
1199,,employee142@company.in,+91-6239389148,Other,50.0,MARKETING,,MUMBAI,18-May-2018,10,410328,EXCELLENT,
1780,Neha Kumar,neha.kumar@gmail.com,+91-8124682213,FEMALE,24.0,it,HR Executive,,11-Feb-2019,two,1595700,3,N
1281,,N/A,+91-7622628777,F,37.0,hr,Data Engineer,Pune,18-Jul-2020,8,,Poor,no
1300,Meera Rao,meera.rao@outlook.com,+91-7515108851,f,53.0,Sales,data analyst,Bombay,07-02-2018,N/A,88079 INR,Average,
1193,Priya Kumar,priya.kumar@yahoo.com,+91-7221649922,Other,57.0,hr,HR Executive,hyderabad,2023/05/09,4,1318506,good,0
1429,Neha Sharma,neha.sharma@outlook.com,+91-6120890371,f,27.0,Finance,SQL Developer,Hyderabad,01-03-2020,15,1168606,N/A,No
1088,Pooja Mehta,pooja.mehta@hotmail.com,+91-6550606479,m,30.0,OPERATIONS,data analyst,Bangalore,2019/02/19,15,1374468,N/A,yes
1788,Kiran Verma,kiran.verma@yahoo.com,+91-7498414375,Unknown,55.0,Marketing,Finance Analyst,chennai,2023-02-19,18,86349 INR,Poor,1
1543,Suresh Iyer,suresh.iyer@outlook.com,+91-8508119100,,56.0,Information Technology,SQL Developer,Bangalore,,19,118895 INR,good,FALSE
1018,Meera Nair,meera.nair@hotmail.com,,Male,46.0,IT,Data Analyst,Chennai,20/01/2021,16,1320542,EXCELLENT,1
1035,Ravi Patel,ravi.patel@gmail.com,+91-7634550216,,44.0,Sales,BI Developer,Pune,2020-08-08,2,946802,Poor,1
1703,Meera Iyer,meera.iyer@company.in,07769224170,Female,53.0,Information Technology,Senior Analyst,Pune,02-24-2019,13,,,
1154,Priya Nair,priya.nair@hotmail.com,+91-8783494552,Other,58.0,Sales,SENIOR ANALYST,,20/10/2021,29,1556875,4,Y
1306,Neha Kumar,neha.kumar@gmail.com,+91-6364821968,Female,46.0,MARKETING,Manager,Chennai,06-10-2018,3,0,5,1
1106,,employee156@yahoo.com,+91-6281321374,Female,23.0,finance,Data Engineer,,2018-01-01,13,742989,2,TRUE
1509,Ravi Singh,ravi.singh@hotmail.com,+91-6491650481,Male,36.0,finance,Senior Analyst,Bengaluru,19-Aug-2018,6,835863,EXCELLENT,0
1421,,employee158@hotmail.com,+91-6084662344,Male,,Human Resources,SENIOR ANALYST,MUMBAI,2022-03-17,19,551625,EXCELLENT,0
1732,Aakash Mehta,aakash.mehta@outlook.com,+91-6160535661,Male,39.0,it,HR Executive,chennai,2019/05/03,24,,Average,0
1185,Arjun Verma,arjun.verma@yahoo.com,+91-9708139559,F,200.0,Fin,HR Executive,chennai,,11,668458,N/A,TRUE
1641,Meera Pillai,,+91-8210876606,Female,36.0,MARKETING,HR Executive,,2020/10/12,25,1416906,4,0
1428,Divya Mishra,divya.mishra@company.in,+91-7145119397,F,28.0,IT,Data Engineer,MUMBAI,10/02/2020,4,1349126,,1
1494,Meera Pillai,meera.pillai@company.in,,F,37.0,Information Technology,Manager,Mumbai,25-Jan-2019,29,1700998,Avg,1
1103,Meera Nair,meera.nair@gmail.com,+91-7359418693,female,25.0,HR,Data Analyst,Bengaluru,05/07/2020,6,451153,N/A,yes
1646,Neha Joshi,neha.joshi@gmail.com,+91-7676329121,Unknown,36.0,Sales,Manager,bangalore,"December 31, 2022",4,388714,Poor,0
1665,Kiran Patel,kiran.patel@hotmail.com,+91-6419728551,male,46.0,it,Finance Analyst,MUMBAI,"September 21, 2019",27,1264174,High Performer,Yes
1199,Divya Joshi,divya.joshi@gmail.com,+91-6429740169,female,33.0,Information Technology,BI Developer,Hyderabad,2021-04-28,two,956535,Excellent,Y
1057,Rahul Nair,,+91-6884369501,M,42.0,Fin,Data Analyst,Mumbai,01-26-2022,19,1502506,Excellent,N
1530,Swati Verma,swati.verma@company.in,+91-8159374355,Female,44.0,MARKETING,BI Developer,Hyderabad,2022/11/06,27,1642474,3,FALSE
1586,Ravi Joshi,ravi.joshi@company.in,+91-8866407741,F,23.0,IT,HR Executive,Delhi,04-08-2018,9,541536,2,0
1519,Aakash Iyer,aakash.iyer@gmail.com,+91-8640665603,f,44.0,OPERATIONS,Sql Developer,,2022-11-05,,981088,3,yes
1357,Vikram Joshi,vikram.joshi@company.in,+91-7872567668,F,58.0,Sales,SQL Developer,Bombay,2019-08-26,3,1596302,Poor,FALSE
1058,pooja rao,pooja.rao@company.in,+91-8729212054,f,34.0,it,Finance Analyst,,16/06/2023,15,1746217,4,No
1511,Aakash Gupta,aakash.gupta@outlook.com,+91-9380781824,FEMALE,53.0,MARKETING,SENIOR ANALYST,MUMBAI,"June 02, 2020",,484821,4,Y
1666,,,918301389619,FEMALE,33.0,Fin,,hyderabad,2019-08-07,17,522011,average,FALSE
1188,  Ravi Mishra  ,ravi.mishra@gmail.com,+91-8463252622,F,27.0,sales,SQL Developer,chennai,,17,1534952,Average,
1064,Ravi Verma,ravi.verma@outlook.com,+91-6970172879,Unknown,150.0,IT,Sql Developer,Delhi,"February 24, 2019",8,464934,2,yes
1429,kiran kumar,kiran.kumar@outlook.com,+91-6394955891,male,,Fin,Data Engineer,Hyderabad,31/08/2022,19,950692,average,Y
1619,Pooja Patel,pooja.patel@hotmail.com,+91-8483321097,M,43.0,Human Resources,HR Executive,bangalore,,4,764670,GOOD,TRUE
1520,Ananya Mehta,ananya.mehta@gmail.com,XXXXXXXXXX,M,34.0,OPERATIONS,BI Developer,Chennai,30/12/2020,21,652599,Average,no
1592,Aakash Kumar,aakash.kumar@hotmail.com,+91-7491712941,Female,43.0,IT,SQL Developer,Mumbai,03-15-2023,,-5000,3,Yes
1720,AAKASH SHARMA,aakash.sharma@company.in,+91-8798329306,Other,42.0,Fin,Data Analyst,Bangalore,,21,706645,,No
1391,swati nair,swati.nair@gmail.com,+91-8167410280,m,150.0,Human Resources,BI Developer,Bombay,,8,1032693,Excellent,0
1368,Neha Reddy,neha.reddy@hotmail.com,+91-7859336382,male,31.0,Operations,Finance Analyst,Pune,09-28-2021,9,1653592,Avg,1
1541,Sneha Mishra,sneha.mishra@outlook.com,+91-7345840745,male,55.0,Fin,Data Engineer,Bombay,02-18-2023,22,795491,5,TRUE
1481,Swati Mishra,swati.mishra@hotmail.com,+91-7727869461,male,26.0,sales,Finance Analyst,,2018-06-03,1,63550 INR,Good,Y
1705,ANANYA GUPTA,ananya.gupta@hotmail.com,+91-8213493993,MALE,47.0,hr,HR Executive,hyderabad,09-04-2022,30,1563322,excellent,yes
1113,Kiran Kumar,kiran.kumar@hotmail.com,+91-9278959330,Female,43.0,Finance,Finance Analyst,Pune,01/08/2021,,1674702,GOOD,Y
1349,Arjun Pillai,arjun.pillai@company.in,+91-9783421979,m,30.0,Fin,,Bombay,,8,50,good,yes
1232,Suresh Mehta,suresh.mehta@yahoo.com,,f,49.0,hr,Finance Analyst,,01-06-2023,29,1482238,Excellent,no
